date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:25	332/332	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20May%202025%2020:04:25%20GMT	http://localhost/antibes	C:/MyWebSites/antibes/localhost/antibes.0.delayed	(from )
22:04:25	295/295	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2004%20May%202025%2020:04:25%20GMT	http://localhost/robots.txt		(from )
22:04:32	264106/264106	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2020:04:25%20GMT	http://localhost/antibes/	C:/MyWebSites/antibes/localhost/antibes/index.html	(from )
22:04:32	116363/116363	---M--	200	added ('OK')	text/css	etag:%221c68b-6341090dc7dc6%22	http://localhost/antibes/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1	C:/MyWebSites/antibes/localhost/antibes/wp-includes/css/dist/block-library/style.min0899.css	(from http://localhost/antibes/)
22:04:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20May%202025%2020:04:32%20GMT	http://localhost/antibes/home/	C:/MyWebSites/antibes/localhost/antibes/home/index.html	(from http://localhost/antibes/)
22:04:34	12979/12979	---M--	200	added ('OK')	text/css	etag:%2232b3-6344cbfc5b262%22	http://localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/block/dist/style-wpzoom-social-icons.css?ver=4.5.1	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/block/dist/style-wpzoom-social-icons8686.css	(from http://localhost/antibes/)
22:04:34	752/752	---M--	200	added ('OK')	application/rss+xml	etag:%221d62abe43a3433988c74302046f9cf8b%22	http://localhost/antibes/comments/feed/	C:/MyWebSites/antibes/localhost/antibes/comments/feed/index.html	(from http://localhost/antibes/)
22:04:34	2894/2894	---M--	200	added ('OK')	text/css	etag:%22b4e-63436956bf00f%22	http://localhost/antibes/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.6	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/contact-form-7/includes/css/stylesfc7a.css	(from http://localhost/antibes/)
22:04:34	27787/27787	---M--	200	added ('OK')	text/css	etag:%226c8b-6344cbfc59782%22	http://localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/wpzoom-socicon.css?ver=1746354099	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/wpzoom-socicon1247.css	(from http://localhost/antibes/)
22:04:36	7974/7974	---M--	200	added ('OK')	text/css	etag:%221f26-6344cbfc59782%22	http://localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/genericons.css?ver=1746354099	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/genericons1247.css	(from http://localhost/antibes/)
22:04:36	10201/10201	---M--	200	added ('OK')	text/css	etag:%2227d9-6344cbfc59241%22	http://localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/academicons.min.css?ver=1746354099	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/academicons.min1247.css	(from http://localhost/antibes/)
22:04:37	30673/30673	---M--	200	added ('OK')	text/css	etag:%2277d1-6344cbfc59241%22	http://localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/font-awesome-3.min.css?ver=1746354099	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/font-awesome-3.min1247.css	(from http://localhost/antibes/)
22:04:38	59016/59016	---M--	200	added ('OK')	text/css	etag:%22e688-6341090d593a3%22	http://localhost/antibes/wp-includes/css/dashicons.min.css?ver=6.8.1	C:/MyWebSites/antibes/localhost/antibes/wp-includes/css/dashicons.min0899.css	(from http://localhost/antibes/)
22:04:40	3938/3938	---M--	200	added ('OK')	text/css	etag:%22f62-6344cbfc59782%22	http://localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/wpzoom-social-icons-styles.css?ver=1746354099	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/wpzoom-social-icons-styles1247.css	(from http://localhost/antibes/)
22:04:44	13988/13988	---M--	200	added ('OK')	font/woff	etag:%2236a4-6344cbfc59782%22	http://localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/font/Genericons.woff	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/font/Genericons.woff	(from http://localhost/antibes/)
22:04:45	28500/28500	---M--	200	added ('OK')	font/woff2	etag:%226f54-6344cbfc59782%22	http://localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/font/academicons.woff2?v=1.9.2	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/font/academicons5849.woff2	(from http://localhost/antibes/)
22:04:45	472876/472876	---M--	200	added ('OK')	text/css	etag:%227372c-63453fcf88446%22	http://localhost/antibes/wp-content/uploads/dynamic_avia/avia-merged-styles-fd5dfc15b63d2196a1043250fa05ca18---6817b92752ff0.css	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/dynamic_avia/avia-merged-styles-fd5dfc15b63d2196a1043250fa05ca18---6817b92752ff0.css	(from http://localhost/antibes/)
22:04:46	9259/9259	---M--	200	added ('OK')	text/css	etag:%22242b-63450906ae279%22	http://localhost/antibes/wp-content/uploads/dynamic_avia/avia_posts_css/post-2.css?ver=ver-1746370485	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/dynamic_avia/avia_posts_css/post-25c94.css	(from http://localhost/antibes/)
22:04:53	51248/51248	---M--	200	added ('OK')	font/woff2	etag:%22c830-6344cbfc59782%22	http://localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/font/socicon.woff2?v=4.5.1	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/font/sociconaefa.woff2	(from http://localhost/antibes/)
22:04:54	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2212d68-6344cbfc59782%22	http://localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/font/fontawesome-webfont.woff2?v=4.7.0	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/font/fontawesome-webfont3e6e.woff2	(from http://localhost/antibes/)
22:04:55	1617/1617	---M--	200	added ('OK')	text/javascript	etag:%22651-634508faca814%22	http://localhost/antibes/wp-content/uploads/dynamic_avia/avia-head-scripts-1ecb691e07acef7d10b6e24aac33f05e---68177fa8b7012.js	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/dynamic_avia/avia-head-scripts-1ecb691e07acef7d10b6e24aac33f05e---68177fa8b7012.js	(from http://localhost/antibes/)
22:04:55	13577/13577	---M--	200	added ('OK')	text/javascript	etag:%223509-6341092e6ce68%22	http://localhost/antibes/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/MyWebSites/antibes/localhost/antibes/wp-includes/js/jquery/jquery-migrate.min5589.js	(from http://localhost/antibes/)
22:04:56	145029/145029	---MC-	200	added ('OK')	application/rss+xml	etag:%221d62abe43a3433988c74302046f9cf8b%22	http://localhost/antibes/feed/	C:/MyWebSites/antibes/localhost/antibes/feed/index.html	(from http://localhost/antibes/)
22:04:57	816/816	---M--	200	added ('OK')	text/xml	date:Sun,%2004%20May%202025%2020:04:56%20GMT	http://localhost/antibes/xmlrpc.php?rsd	C:/MyWebSites/antibes/localhost/antibes/xmlrpc0db0.php	(from http://localhost/antibes/)
22:04:58	2195/2195	---M--	200	added ('OK')	application/json	date:Sun,%2004%20May%202025%2020:04:57%20GMT	http://localhost/antibes/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fantibes%2F	C:/MyWebSites/antibes/localhost/antibes/wp-json/oembed/1.0/embede544.json	(from http://localhost/antibes/)
22:04:58	87553/87553	---M--	200	added ('OK')	text/javascript	etag:%2215601-6341092e8b89c%22	http://localhost/antibes/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/MyWebSites/antibes/localhost/antibes/wp-includes/js/jquery/jquery.minf43b.js	(from http://localhost/antibes/)
